,source,target,with_ch
2307,Young Avengers,2 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'Red Ghost', 'U.S. Agent', 'Yellowjacket (Hank Pym)', 'Young Avengers']"
2308,Young Avengers,3 of 4 - Family Matters,['Young Avengers']
2309,Young Avengers,4 of 4 - Family Matters,['Young Avengers']
2310,Young X-Men,1 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men', 'Young X-Men', 'Young X-Men']"
2311,Young X-Men,1 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men', 'Young X-Men', 'Young X-Men']"
2312,Young X-Men,2 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men']"
2313,Young X-Men,3 of 5,"['Calamity', 'Madrox', 'Veda', 'Young X-Men', 'Young X-Men']"
2314,Young X-Men,4 of 5,"['Young X-Men', 'Young X-Men']"
2315,Young X-Men,5 of 5,"['Young X-Men', 'Young X-Men']"
2316,Young X-Men,1 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men', 'Young X-Men', 'Young X-Men']"
2317,Young X-Men,1 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men', 'Young X-Men', 'Young X-Men']"
2318,Young X-Men,2 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men']"
2319,Young X-Men,3 of 5,"['Calamity', 'Madrox', 'Veda', 'Young X-Men', 'Young X-Men']"
2320,Young X-Men,4 of 5,"['Young X-Men', 'Young X-Men']"
2321,Young X-Men,5 of 5,"['Young X-Men', 'Young X-Men']"
2322,Young X-Men,Interior #52319,['Young X-Men']
2323,Young X-Men,Interior #52773,['Young X-Men']
2324,Zaladane,Visions of Death!,['Zaladane']
2325,Zaladane,To Save the Savage Land,['Zaladane']
2326,Zaladane,Resurrection,"['Gateway', 'Zaladane']"
2327,Zaladane,What If Cable Destroyed  the X-Men,"['Fenris', 'Zaladane']"
2328,Zaladane,Into the Land of Death...,['Zaladane']
2329,Zaladane,Lost Souls!,['Zaladane']
2330,Zaladane,Frontispiece,['Zaladane']
2331,Zaladane,X-Men: Earth's Mutant Heroes #1,"['Ink', 'X-Cutioner', 'Zaladane']"
2332,Zaran,Captain America (1968) #358,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper', 'U.S. Agent', 'Zaran']"
2333,Zaran,Disguise the Limit,"['Batroc the Leaper', 'M.O.D.A.M.', 'Zaran']"
2334,Zaran,Hero for Hire,['Zaran']
2335,Zaran,"The Long, Long Night",['Zaran']
2336,Zaran,Zaran,['Zaran']
2337,Zaran,Family and Friends,['Zaran']
2338,Zaran,The Reckoning,['Zaran']
2339,Zaran,Strange Matters,['Zaran']
2340,Zeus,Whom the Gods Would Destroy,['Zeus']
2341,Zeus,Battleground:  Olympus,['Zeus']
2342,Zeus,Twilight of the Gods,['Zeus']
2343,Zeus,Thor (1966) #164,"['Balder', 'Zeus']"
2344,Zeus,The Mighty Thor,['Zeus']
2345,Zeus,Thor (1998) #7,['Zeus']
2346,Zeus,Interior #56113,['Zeus']
2347,Zeus,Interior #56117,['Zeus']
2348,Zeus,Interior #56119,['Zeus']
2349,Zodiak,Story to Defenders #50,['Zodiak']
2350,Zombie (Simon Garth),,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
2351,Zuras,Interior #92113,"['Ikaris', 'Zuras']"
2352,Zzzax,Interior #82130,['Zzzax']
2353,Zzzax,Interior #90817,['Zzzax']
2354,3-D Man,The 3-D Man!,['3-D Man']
2355,3-D Man,The Devil's Music!,['3-D Man']
2356,3-D Man,Code-Name:  The Cold Warrior!,['3-D Man']
2357,3-D Man,Avengers: The Initiative (2007) #14 - Int,['3-D Man']
2358,3-D Man,Avengers: The Initiative (2007) #15 - Int,"['Gauntlet (Joseph Green)', '3-D Man']"
2359,3-D Man,Avengers: The Initiative (2007) #16 - Int,['3-D Man']
2360,3-D Man,Avengers: The Initiative (2007) #17 - Int,['3-D Man']
2361,3-D Man,Avengers: The Initiative (2007) #18 - Int,['3-D Man']
2362,3-D Man,"Avengers: The Initiative (2007) #18, Zombie Variant - Int",['3-D Man']
2363,3-D Man,Avengers: The Initiative (2007) #19 - Int,"['Hardball', '3-D Man']"
2364,3-D Man,"Avengers: The Initiative (2007) #14, Spotlight Variant - Int",['3-D Man']
